iter	Logloss
0	0.6676843109
1	0.6279444345
2	0.6031563707
3	0.5869751892
4	0.5661088493
5	0.5475055139
6	0.5330263212
7	0.5108753961
8	0.4967194235
9	0.4845352695
10	0.471648809
11	0.46057867
12	0.45006933
13	0.4411333779
14	0.432681807
15	0.4218846238
16	0.4162762626
17	0.405144098
18	0.3967026171
19	0.3890952315
20	0.3823894141
21	0.3770976494
22	0.3708176232
23	0.3634075185
24	0.3575129854
25	0.3525290892
26	0.345227034
27	0.3414298563
28	0.3370860862
29	0.3284581572
30	0.322653196
31	0.3189235222
32	0.3136283839
33	0.3095511008
34	0.3054416598
35	0.2995182496
36	0.2955462304
37	0.2917767847
38	0.2867643827
39	0.283367369
40	0.2795220318
41	0.2765960904
42	0.2739989712
43	0.2681657209
44	0.2668244336
45	0.2632384029
46	0.2622836301
47	0.2582588088
48	0.2542795935
49	0.2493984697
