iter	Passed	Remaining
0	7	716
1	16	831
2	29	937
3	38	919
4	48	913
5	58	910
6	67	902
7	81	938
8	92	932
9	100	904
10	111	900
11	124	914
12	135	906
13	146	898
14	151	858
15	162	852
16	171	836
17	180	822
18	188	804
19	198	792
20	205	773
21	215	762
22	225	753
23	235	747
24	245	735
25	261	744
26	274	743
27	282	725
28	291	714
29	304	710
30	315	701
31	328	697
32	341	692
33	356	691
34	368	684
35	379	675
36	390	664
37	399	652
38	412	645
39	422	633
40	435	626
41	447	618
42	458	607
43	473	602
44	490	599
45	502	589
46	512	578
47	525	569
48	533	555
49	547	547
50	553	532
51	566	522
52	583	517
53	596	507
54	603	493
55	615	483
56	625	471
57	634	459
58	646	449
59	658	439
60	668	427
61	679	416
62	690	405
63	705	396
64	716	385
65	729	375
66	742	365
67	756	355
68	771	346
69	787	337
70	804	328
71	821	319
72	833	308
73	848	298
74	862	287
75	877	277
76	891	266
77	902	254
78	915	243
79	926	231
80	939	220
81	947	208
82	961	196
83	975	185
84	984	173
85	996	162
86	1009	150
87	1020	139
88	1032	127
89	1043	115
90	1050	103
91	1060	92
92	1071	80
93	1083	69
94	1100	57
95	1112	46
96	1122	34
97	1131	23
98	1139	11
99	1148	0
